time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2022-11-09,2022-11-09,Orlan-10,,,,1,1,kpszsu/posts/pfbid02qZmk4NqTpbjF8N2j6Kj6iX5dextMG6KTyUChyWKDcFHJ5oz7qPSUJsrfaiFDWfqul
2022-11-14 10:00,2022-11-14 11:00,Unknown UAV,,south,,2,2,kpszsu/posts/pfbid0i3v3KWwzHpPZKaShVxi6tFuvhrquVUF3XSttrSh2jJ3NHxRihwhKwiCJjHMe9cWZl
2022-11-15,2022-11-15,X-101/X-555 and Kalibr,Caspian Sea and Volgodonsk and Black Sea,Ukraine,14 x Tu-95MS and Navi,96,75,kpszsu/posts/pfbid05BoLmgkLfpYSvAjw5ahfyvBAZrMK3c6vbLaHSvUoeGndpy8tzJe7dCWUa88YGwD2l
2022-11-15,2022-11-15,X-59,,Ukraine,,2,2,kpszsu/posts/pfbid05BoLmgkLfpYSvAjw5ahfyvBAZrMK3c6vbLaHSvUoeGndpy8tzJe7dCWUa88YGwD2l
2022-11-15,2022-11-15,Shahed-136/131,,Ukraine,,10,10,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-15,2022-11-15,Orlan-10,,Ukraine,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-15,2022-11-15,Orion,,Ukraine,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-17,2022-11-17,X-101/X-555,Volgodonsk,Ukraine,9 x Tu-95MS,18,4,kpszsu/posts/pfbid0NsigqYjBmu1QbSWfFahzmFLNBseZECyfKNDJFcegvakkun1jCsjJhFisCfLWnpKVl
2022-11-17,2022-11-17,X-59,,south,,2,2,kpszsu/posts/pfbid0NsigqYjBmu1QbSWfFahzmFLNBseZECyfKNDJFcegvakkun1jCsjJhFisCfLWnpKVl
2022-11-17,2022-11-17,Shahed-136/131,Belarus,center,,5,5,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-11-23,2022-11-23,Lancet,,south,,5,5,kpszsu/posts/pfbid0j2bUzhf27gnFdvp1gfoiSP8jAYacevDjmHNT3K7HWNmGE2iW1k8XoowKCSXQvUBZl
2022-11-23,2022-11-23,X-101/X-555 and Kalibr,Caspian Sea and Volgodonsk and Black Sea,Ukraine,10 x Tu-95MS and Navi,70,51,kpszsu/posts/pfbid0j2bUzhf27gnFdvp1gfoiSP8jAYacevDjmHNT3K7HWNmGE2iW1k8XoowKCSXQvUBZl
2022-12-05,2022-12-05,X-101/X-555,Caspian Sea and Volgodonsk,Ukraine,8 x Tu-95MS,38,38,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,Kalibr,Black Sea,Ukraine,Navi,22,22,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-22,Black Sea,Ukraine,Tu-22M3,3,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-59,Black Sea,Ukraine,Su-35,6,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-05,2022-12-05,X-31P,Black Sea,Ukraine,Su-35,1,0,kpszsu/posts/pfbid02WAuaJRnbwHukdqtvidXWFZyPvisky16EmBdGqaY33muC2tPSsbHfPzo8iPzPbh2hl
2022-12-07,2022-12-07,Unknown UAV,south-east,,,2,2,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-12-07,2022-12-07,Orlan-10,south-east,,,1,1,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-12-07,2022-12-07,Shahed-136/131,south-east,,,11,11,kpszsu/posts/pfbid0K2bwmVod7ngEjzbcM9hPADXD5qVqJHhysmyihew9XNJzJZVvwpQ4f8dLJkuWVTrAl
2022-12-10,2022-12-10 08:00,Shahed-136/131,eastern coast of the Sea of Azov,Odesa oblast and Mykolaiv oblast and Kherson oblast,,15,10,kpszsu/posts/pfbid0H4NK3oS4XPeXWfcmKzJBhhD64gbpVJEwi9jVeGeP7usUjh9YXScWfZzK7Hia4fHWl
2022-12-14,2022-12-14 09:15,Shahed-136/131,eastern coast of the Sea of Azov,Ukraine,,13,13,kpszsu/posts/pfbid037YJuU766b8ZFGBktzsj4G6wgtuYwAm2yw15Gbfgs3rC5PcK5fmhbnppU9wmRQtTdl
2022-12-16,2022-12-16,X-101/X-555 and X-22 and Kalibr,Caspian Sea and Saratov and Black Sea and Sea of Azov,Ukraine,Tu-95MS and Admiral Makarov and Tu-22M3,72,60,kpszsu/posts/pfbid0iN3SZTKGt5vvrcygMaNSjbrRC7NJkBZjDgTYdUteEk1WTtzYWSmDasinXwLgLJ1Rl
2022-12-16,2022-12-16,X-59 and X-31P,,Ukraine,Su-35,4,0,kpszsu/posts/pfbid0iN3SZTKGt5vvrcygMaNSjbrRC7NJkBZjDgTYdUteEk1WTtzYWSmDasinXwLgLJ1Rl
2022-12-16,2022-12-16,C-300,,,,27,0,kpszsu/posts/pfbid0iN3SZTKGt5vvrcygMaNSjbrRC7NJkBZjDgTYdUteEk1WTtzYWSmDasinXwLgLJ1Rl
2022-12-19,2022-12-19 08:00,Shahed-136/131,eastern coast of the Sea of Azov,Ukraine,,35,30,kpszsu/posts/pfbid0a55gguTpLr1WiQnmgJ6uSU179G47AcdGrTFyAy5wvCbcUruFE83otiegTFrdDxDnl
2022-12-20 13:00,2022-12-20 14:00,Orion,,Kherson oblast,,1,1,PvKPivden/videos/877352513463110
2022-12-20 13:00,2022-12-20 14:00,Unknown UAV,,Mykolaiv oblast,,1,1,PvKPivden/videos/877352513463110
2022-12-22,2022-12-22,X-59MK2,Black Sea,Mykolaiv oblast,Su-35,1,1,kpszsu/posts/pfbid02MHKreQ3VGHKwg7JTntPBaVL74oFEBgHUsJyMfRpeoUedwAFtJBsNDTJK7EF1eUYyl
2022-12-29,2022-12-29,Orlan-10,,Kyiv oblast,,1,1,kpszsu/posts/pfbid0S4cPcxaKz4wykVGh6CeuPaHYCBExNNipnLw2j8qvqDri9iMaegQUEL9SpB1ZtW76l
2022-12-29,2022-12-29,Orlan-10,east,Ukraine,,3,3,kpszsu/posts/pfbid0S4cPcxaKz4wykVGh6CeuPaHYCBExNNipnLw2j8qvqDri9iMaegQUEL9SpB1ZtW76l
2022-12-29 07:00,2022-12-29 10:00,X-101/X-555 and Kalibr,Caspian Sea and Volgodonsk and Black Sea,Ukraine,Tu-95MS and Navi,62,58,kpszsu/posts/pfbid0S4cPcxaKz4wykVGh6CeuPaHYCBExNNipnLw2j8qvqDri9iMaegQUEL9SpB1ZtW76l
2022-12-29 07:00,2022-12-29 10:00,X-31P,,Ukraine,Su-35,2,0,kpszsu/posts/pfbid0S4cPcxaKz4wykVGh6CeuPaHYCBExNNipnLw2j8qvqDri9iMaegQUEL9SpB1ZtW76l
2022-12-29 07:00,2022-12-29 10:00,X-22 and X-32,,Ukraine,Tu-22M3,6,0,kpszsu/posts/pfbid0S4cPcxaKz4wykVGh6CeuPaHYCBExNNipnLw2j8qvqDri9iMaegQUEL9SpB1ZtW76l
2022-12-30 08:00,2022-12-30 08:00,Shahed-136/131,north and south-east,Ukraine,,16,16,kpszsu/posts/pfbid02zA6Y4D8gcc9rNxXTAogJd5Lek6Yg8kQkHSeCcqCND8UB2B9cY3tdxxJpaSLmFUN2l
